Img_Num,PSNR,Avg_PSNR
1,38.59,40.9527
2,42.11,
3,38.59,
4,48.13,
5,inf,
6,inf,
7,inf,
8,inf,
9,inf,
10,inf,
11,inf,
12,inf,
13,inf,
14,48.13,
15,42.11,
16,42.11,
17,inf,
18,inf,
19,inf,
20,inf,
21,48.13,
22,48.13,
23,inf,
24,inf,
25,inf,
26,inf,
27,inf,
28,42.11,
29,inf,
30,48.13,
31,42.11,
32,42.11,
33,42.11,
34,inf,
35,inf,
36,inf,
37,inf,
38,inf,
39,inf,
40,inf,
41,48.13,
42,42.11,
43,inf,
44,48.13,
45,48.13,
46,42.11,
47,42.11,
48,48.13,
49,42.11,
50,48.13,
51,48.13,
52,inf,
53,inf,
54,inf,
55,inf,
56,inf,
57,48.13,
58,inf,
59,48.13,
60,42.11,
61,38.59,
62,36.09,
63,48.13,
64,inf,
65,42.11,
66,inf,
67,38.59,
68,38.59,
69,48.13,
70,inf,
71,inf,
72,inf,
73,38.59,
74,42.11,
75,34.15,
76,inf,
77,42.11,
78,48.13,
79,inf,
80,32.57,
81,inf,
82,inf,
83,42.11,
84,inf,
85,48.13,
86,inf,
87,48.13,
88,42.11,
89,48.13,
90,inf,
91,inf,
92,inf,
93,48.13,
94,48.13,
95,inf,
96,48.13,
97,48.13,
98,inf,
99,48.13,
100,36.09,
101,8.41,
102,48.13,
103,48.13,
104,inf,
105,inf,
106,inf,
107,inf,
108,34.15,
109,inf,
110,48.13,
111,inf,
112,inf,
113,inf,
114,42.11,
115,42.11,
116,inf,
117,48.13,
118,34.15,
119,34.15,
120,48.13,
121,38.59,
122,48.13,
123,inf,
124,48.13,
125,inf,
126,inf,
127,inf,
128,38.59,
129,inf,
130,inf,
131,inf,
132,32.57,
133,38.59,
134,inf,
135,42.11,
136,inf,
137,42.11,
138,38.59,
139,42.11,
140,48.13,
141,36.09,
142,34.15,
143,38.59,
144,38.59,
145,38.59,
146,36.09,
147,42.11,
148,38.59,
149,31.23,
150,31.23,
151,inf,
152,inf,
153,48.13,
154,42.11,
155,inf,
156,inf,
157,34.15,
158,9.05,
159,inf,
160,inf,
161,inf,
162,8.96,
163,8.69,
164,48.13,
165,42.11,
166,inf,
167,inf,
168,inf,
169,42.11,
170,inf,
171,48.13,
172,48.13,
173,inf,
174,inf,
175,inf,
176,inf,
177,48.13,
178,48.13,
179,inf,
180,inf,
181,inf,
182,inf,
183,36.09,
184,inf,
185,36.09,
186,48.13,
187,42.11,
188,42.11,
189,42.11,
190,48.13,
191,inf,
192,36.09,
193,inf,
194,38.59,
195,42.11,
196,48.13,
197,inf,
198,48.13,
199,inf,
200,48.13,
201,48.13,
202,48.13,
203,inf,
204,inf,
205,42.11,
206,36.09,
207,34.15,
208,34.15,
209,36.09,
210,34.15,
211,inf,
212,42.11,
213,36.09,
214,36.09,
215,38.59,
216,32.57,
217,36.09,
218,42.11,
219,inf,
220,inf,
221,inf,
222,42.11,
223,8.18,
224,8.20,
225,inf,
226,inf,
227,inf,
228,38.59,
229,inf,
230,inf,
231,inf,
232,38.59,
233,48.13,
234,36.09,
235,inf,
236,48.13,
237,36.09,
238,38.59,
239,inf,
240,42.11,
241,36.09,
242,inf,
243,48.13,
244,48.13,
245,inf,
246,inf,
247,inf,
248,inf,
249,48.13,
250,inf,
251,inf,
252,inf,
253,42.11,
254,42.11,
255,42.11,
256,inf,
257,48.13,
258,42.11,
259,inf,
260,48.13,
261,inf,
262,inf,
263,42.11,
264,48.13,
265,36.09,
266,inf,
267,inf,
268,inf,
269,29.05,
270,42.11,
271,36.09,
272,inf,
273,48.13,
274,inf,
275,inf,
276,48.13,
277,48.13,
278,48.13,
279,31.23,
280,38.59,
281,36.09,
282,48.13,
283,inf,
284,inf,
285,inf,
286,48.13,
287,42.11,
288,48.13,
289,inf,
290,48.13,
291,inf,
292,inf,
293,inf,
294,inf,
295,48.13,
296,inf,
297,inf,
298,inf,
299,inf,
300,38.59,
301,38.59,
302,38.59,
303,34.15,
304,38.59,
305,48.13,
306,inf,
307,inf,
308,inf,
309,48.13,
310,48.13,
311,42.11,
312,inf,
313,38.59,
314,inf,
315,48.13,
316,31.23,
317,32.57,
318,48.13,
319,48.13,
320,42.11,
321,38.59,
322,inf,
323,inf,
324,42.11,
325,34.15,
326,38.59,
327,inf,
328,42.11,
329,36.09,
330,42.11,
331,48.13,
332,inf,
333,inf,
334,inf,
335,inf,
336,inf,
337,inf,
338,48.13,
339,42.11,
340,inf,
341,48.13,
342,inf,
343,48.13,
344,48.13,
345,48.13,
346,42.11,
347,inf,
348,inf,
349,inf,
350,inf,
351,inf,
352,48.13,
353,38.59,
354,38.59,
355,48.13,
356,inf,
357,42.11,
358,48.13,
359,inf,
360,42.11,
361,8.56,
362,8.18,
363,42.11,
364,48.13,
365,inf,
366,36.09,
367,42.11,
368,38.59,
369,inf,
370,inf,
371,inf,
372,inf,
373,42.11,
374,34.15,
375,42.11,
376,42.11,
377,38.59,
378,32.57,
379,48.13,
380,42.11,
381,38.59,
382,42.11,
383,42.11,
384,36.09,
385,34.15,
386,48.13,
387,42.11,
388,inf,
389,inf,
390,28.13,
391,inf,
392,inf,
393,48.13,
394,48.13,
395,48.13,
396,inf,
397,48.13,
398,48.13,
399,42.11,
400,34.15,
401,36.09,
402,42.11,
403,inf,
404,48.13,
405,38.59,
406,42.11,
407,34.15,
408,48.13,
409,30.07,
410,48.13,
411,42.11,
412,42.11,
413,inf,
414,inf,
415,inf,
416,inf,
417,48.13,
418,inf,
419,inf,
420,48.13,
421,38.59,
422,36.09,
423,38.59,
424,inf,
425,36.09,
426,48.13,
427,34.15,
428,32.57,
429,42.11,
430,inf,
431,inf,
432,inf,
433,inf,
434,inf,
435,inf,
436,inf,
437,8.09,
438,inf,
439,48.13,
440,inf,
441,inf,
442,inf,
443,inf,
444,42.11,
445,38.59,
446,48.13,
447,38.59,
448,42.11,
449,48.13,
450,inf,
451,48.13,
452,34.15,
453,31.23,
454,42.11,
455,inf,
456,36.09,
457,38.59,
458,38.59,
459,42.11,
460,42.11,
461,48.13,
462,48.13,
463,48.13,
464,48.13,
465,48.13,
466,48.13,
467,inf,
468,inf,
469,48.13,
470,38.59,
471,36.09,
472,48.13,
473,32.57,
474,34.15,
475,38.59,
476,42.11,
477,48.13,
478,inf,
479,48.13,
480,38.59,
481,48.13,
482,7.85,
483,48.13,
484,inf,
485,inf,
486,inf,
487,inf,
488,inf,
489,48.13,
490,inf,
491,inf,
492,32.57,
493,38.59,
494,34.15,
495,42.11,
496,32.57,
497,36.09,
498,36.09,
499,inf,
500,34.15,
501,38.59,
502,38.59,
503,38.59,
504,34.15,
505,34.15,
506,42.11,
507,42.11,
508,29.05,
509,8.15,
510,inf,
511,48.13,
512,8.60,
513,48.13,
514,inf,
515,inf,
516,inf,
517,inf,
518,42.11,
519,inf,
520,48.13,
521,48.13,
522,inf,
523,inf,
524,36.09,
525,38.59,
526,36.09,
527,48.13,
528,inf,
529,48.13,
